city_name;city_code;Indicator;unit;year;value
Wien;AT13;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2016;56.0
Wien;AT13;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2020;55.8
Wien;AT13;Median age of population - females;Year;2016;41.2
Wien;AT13;Median age of population - females;Year;2020;41.1
Wien;AT13;Median age of population;Year;2016;39.7
Wien;AT13;Median age of population;Year;2020;39.7
Wien;AT13;Median age of population - males;Year;2016;38.3
Wien;AT13;Median age of population - males;Year;2020;38.5
Wien;AT13;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2016;24.2
Wien;AT13;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2020;23.9
Wien;AT13;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2016;36.3
Wien;AT13;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2020;37.2
Wien;AT13;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2016;26.0
Wien;AT13;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2020;25.7
Wien;AT13;Women per 100 men;Percentage;2016;106.1
Wien;AT13;Women per 100 men;Percentage;2020;105.0
Wien;AT13;Proportion of population aged 0-14 years;Percentage;2016;14.4
Wien;AT13;Proportion of population aged 0-14 years;Percentage;2020;14.6
Wien;AT13;Proportion of population aged 0-19 years;Percentage;2016;19.2
Wien;AT13;Proportion of population aged 0-19 years;Percentage;2020;19.3
Wien;AT13;Proportion of population aged 0-4 years;Percentage;2016;5.1
Wien;AT13;Proportion of population aged 0-4 years;Percentage;2020;5.2
Wien;AT13;Proportion of population aged 10-14 years;Percentage;2016;4.5
Wien;AT13;Proportion of population aged 10-14 years;Percentage;2020;4.6
Wien;AT13;Proportion of population aged 15-19 years;Percentage;2016;4.9
Wien;AT13;Proportion of population aged 15-19 years;Percentage;2020;4.7
Wien;AT13;Proportion of population aged 15-24 years;Percentage;2016;12.2
Wien;AT13;Proportion of population aged 15-24 years;Percentage;2020;11.5
Wien;AT13;Proportion of population aged 20-24 years;Percentage;2016;7.3
Wien;AT13;Proportion of population aged 20-24 years;Percentage;2020;6.8
Wien;AT13;Proportion of population aged 20-39 years;Percentage;2016;31.2
Wien;AT13;Proportion of population aged 20-39 years;Percentage;2020;31.1
Wien;AT13;Proportion of population aged 25-29 years;Percentage;2016;8.5
Wien;AT13;Proportion of population aged 25-29 years;Percentage;2020;8.4
Wien;AT13;Proportion of population aged 25-44 years;Percentage;2016;30.8
Wien;AT13;Proportion of population aged 25-44 years;Percentage;2020;31.1
Wien;AT13;Proportion of population aged 25-49 years;Percentage;2016;38.5
Wien;AT13;Proportion of population aged 25-49 years;Percentage;2020;37.9
Wien;AT13;Proportion of population aged 30-34 years;Percentage;2016;8.2
Wien;AT13;Proportion of population aged 30-34 years;Percentage;2020;8.3
Wien;AT13;Proportion of population aged 35-39 years;Percentage;2016;7.2
Wien;AT13;Proportion of population aged 35-39 years;Percentage;2020;7.7
Wien;AT13;Proportion of population aged 40-44 years;Percentage;2016;7.0
Wien;AT13;Proportion of population aged 40-44 years;Percentage;2020;6.7
Wien;AT13;Proportion of population aged 40-59 years;Percentage;2016;28.1
Wien;AT13;Proportion of population aged 40-59 years;Percentage;2020;27.7
Wien;AT13;Proportion of population aged 45-49 years;Percentage;2016;7.6
Wien;AT13;Proportion of population aged 45-49 years;Percentage;2020;6.8
Wien;AT13;Proportion of population aged 45-64 years;Percentage;2016;25.9
Wien;AT13;Proportion of population aged 45-64 years;Percentage;2020;26.3
Wien;AT13;Proportion of population aged 50-54 years;Percentage;2016;7.4
Wien;AT13;Proportion of population aged 50-54 years;Percentage;2020;7.3
Wien;AT13;Proportion of population aged 50-64 years;Percentage;2016;18.3
Wien;AT13;Proportion of population aged 50-64 years;Percentage;2020;19.5
Wien;AT13;Proportion of population aged 55-59 years;Percentage;2016;6.1
Wien;AT13;Proportion of population aged 55-59 years;Percentage;2020;6.8
Wien;AT13;Proportion of population aged 5-9 years;Percentage;2016;4.7
Wien;AT13;Proportion of population aged 5-9 years;Percentage;2020;4.8
Wien;AT13;Proportion of population aged 60-64 years;Percentage;2016;4.9
Wien;AT13;Proportion of population aged 60-64 years;Percentage;2020;5.4
Wien;AT13;Proportion of population aged 60-79 years;Percentage;2016;17.4
Wien;AT13;Proportion of population aged 60-79 years;Percentage;2020;17.7
Wien;AT13;Proportion of population aged 60 years and more;Percentage;2016;21.5
Wien;AT13;Proportion of population aged 60 years and more;Percentage;2020;21.9
Wien;AT13;Proportion of population aged 65-69 years;Percentage;2016;4.7
Wien;AT13;Proportion of population aged 65-69 years;Percentage;2020;4.3
Wien;AT13;Proportion of population aged 65-79 years;Percentage;2016;12.6
Wien;AT13;Proportion of population aged 65-79 years;Percentage;2020;12.3
Wien;AT13;Proportion of population aged 65 years and more;Percentage;2016;16.7
Wien;AT13;Proportion of population aged 65 years and more;Percentage;2020;16.5
Wien;AT13;Proportion of population aged 70-74 years;Percentage;2016;4.5
Wien;AT13;Proportion of population aged 70-74 years;Percentage;2020;4.0
Wien;AT13;Proportion of population aged 75-79 years;Percentage;2016;3.3
Wien;AT13;Proportion of population aged 75-79 years;Percentage;2020;4.0
Wien;AT13;Proportion of population aged 80-84 years;Percentage;2016;1.9
Wien;AT13;Proportion of population aged 80-84 years;Percentage;2020;2.2
Wien;AT13;Proportion of population aged 80 years and more;Percentage;2016;4.1
Wien;AT13;Proportion of population aged 80 years and more;Percentage;2020;4.2
Wien;AT13;Proportion of population aged 85 years and more;Percentage;2016;2.3
Wien;AT13;Proportion of population aged 85 years and more;Percentage;2020;2.0
Wien;AT13;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2016;20.8
Wien;AT13;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2020;21.1
Wien;AT13;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2016;32.4
Wien;AT13;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2020;32.8
Wien;AT13;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2016;30.0
Wien;AT13;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2020;30.1
Kärnten;AT21;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2016;52.1
Kärnten;AT21;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2020;54.7
Kärnten;AT21;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2016;84.4
Kärnten;AT21;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2020;90.8
Kärnten;AT21;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2016;65.1
Kärnten;AT21;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2020;67.1
Kärnten;AT21;Median age of population - females;Year;2016;47.3
Kärnten;AT21;Median age of population - females;Year;2020;48.8
Kärnten;AT21;Median age of population;Year;2016;45.9
Kärnten;AT21;Median age of population;Year;2020;47.2
Kärnten;AT21;Median age of population - males;Year;2016;44.4
Kärnten;AT21;Median age of population - males;Year;2020;45.7
Kärnten;AT21;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2016;31.6
Kärnten;AT21;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2020;34.2
Kärnten;AT21;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2016;50.1
Kärnten;AT21;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2020;56.2
Kärnten;AT21;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2016;34.3
Kärnten;AT21;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2020;36.9
Kärnten;AT21;Women per 100 men;Percentage;2016;105.0
Kärnten;AT21;Women per 100 men;Percentage;2020;105.1
Kärnten;AT21;Proportion of population aged 0-14 years;Percentage;2016;13.4
Kärnten;AT21;Proportion of population aged 0-14 years;Percentage;2020;13.3
Kärnten;AT21;Proportion of population aged 0-19 years;Percentage;2016;18.6
Kärnten;AT21;Proportion of population aged 0-19 years;Percentage;2020;18.1
Kärnten;AT21;Proportion of population aged 0-4 years;Percentage;2016;4.3
Kärnten;AT21;Proportion of population aged 0-4 years;Percentage;2020;4.3
Kärnten;AT21;Proportion of population aged 10-14 years;Percentage;2016;4.7
Kärnten;AT21;Proportion of population aged 10-14 years;Percentage;2020;4.6
Kärnten;AT21;Proportion of population aged 15-19 years;Percentage;2016;5.2
Kärnten;AT21;Proportion of population aged 15-19 years;Percentage;2020;4.8
Kärnten;AT21;Proportion of population aged 15-24 years;Percentage;2016;10.7
Kärnten;AT21;Proportion of population aged 15-24 years;Percentage;2020;9.7
Kärnten;AT21;Proportion of population aged 20-24 years;Percentage;2016;5.5
Kärnten;AT21;Proportion of population aged 20-24 years;Percentage;2020;5.0
Kärnten;AT21;Proportion of population aged 20-39 years;Percentage;2016;23.3
Kärnten;AT21;Proportion of population aged 20-39 years;Percentage;2020;22.8
Kärnten;AT21;Proportion of population aged 25-29 years;Percentage;2016;5.8
Kärnten;AT21;Proportion of population aged 25-29 years;Percentage;2020;5.7
Kärnten;AT21;Proportion of population aged 25-44 years;Percentage;2016;24.4
Kärnten;AT21;Proportion of population aged 25-44 years;Percentage;2020;23.8
Kärnten;AT21;Proportion of population aged 25-49 years;Percentage;2016;32.5
Kärnten;AT21;Proportion of population aged 25-49 years;Percentage;2020;30.8
Kärnten;AT21;Proportion of population aged 30-34 years;Percentage;2016;6.2
Kärnten;AT21;Proportion of population aged 30-34 years;Percentage;2020;6.0
Kärnten;AT21;Proportion of population aged 35-39 years;Percentage;2016;5.9
Kärnten;AT21;Proportion of population aged 35-39 years;Percentage;2020;6.3
Kärnten;AT21;Proportion of population aged 40-44 years;Percentage;2016;6.6
Kärnten;AT21;Proportion of population aged 40-44 years;Percentage;2020;6.0
Kärnten;AT21;Proportion of population aged 40-59 years;Percentage;2016;30.9
Kärnten;AT21;Proportion of population aged 40-59 years;Percentage;2020;29.6
Kärnten;AT21;Proportion of population aged 45-49 years;Percentage;2016;8.1
Kärnten;AT21;Proportion of population aged 45-49 years;Percentage;2020;6.9
Kärnten;AT21;Proportion of population aged 45-64 years;Percentage;2016;30.7
Kärnten;AT21;Proportion of population aged 45-64 years;Percentage;2020;31.0
Kärnten;AT21;Proportion of population aged 50-54 years;Percentage;2016;8.5
Kärnten;AT21;Proportion of population aged 50-54 years;Percentage;2020;8.3
Kärnten;AT21;Proportion of population aged 50-64 years;Percentage;2016;22.6
Kärnten;AT21;Proportion of population aged 50-64 years;Percentage;2020;24.1
Kärnten;AT21;Proportion of population aged 55-59 years;Percentage;2016;7.7
Kärnten;AT21;Proportion of population aged 55-59 years;Percentage;2020;8.4
Kärnten;AT21;Proportion of population aged 5-9 years;Percentage;2016;4.5
Kärnten;AT21;Proportion of population aged 5-9 years;Percentage;2020;4.4
Kärnten;AT21;Proportion of population aged 60-64 years;Percentage;2016;6.3
Kärnten;AT21;Proportion of population aged 60-64 years;Percentage;2020;7.4
Kärnten;AT21;Proportion of population aged 60-79 years;Percentage;2016;21.3
Kärnten;AT21;Proportion of population aged 60-79 years;Percentage;2020;23.2
Kärnten;AT21;Proportion of population aged 60 years and more;Percentage;2016;27.1
Kärnten;AT21;Proportion of population aged 60 years and more;Percentage;2020;29.5
Kärnten;AT21;Proportion of population aged 65-69 years;Percentage;2016;5.7
Kärnten;AT21;Proportion of population aged 65-69 years;Percentage;2020;6.0
Kärnten;AT21;Proportion of population aged 65-79 years;Percentage;2016;14.9
Kärnten;AT21;Proportion of population aged 65-79 years;Percentage;2020;15.7
Kärnten;AT21;Proportion of population aged 65 years and more;Percentage;2016;20.8
Kärnten;AT21;Proportion of population aged 65 years and more;Percentage;2020;22.1
Kärnten;AT21;Proportion of population aged 70-74 years;Percentage;2016;4.8
Kärnten;AT21;Proportion of population aged 70-74 years;Percentage;2020;5.0
Kärnten;AT21;Proportion of population aged 75-79 years;Percentage;2016;4.4
Kärnten;AT21;Proportion of population aged 75-79 years;Percentage;2020;4.8
Kärnten;AT21;Proportion of population aged 80-84 years;Percentage;2016;2.8
Kärnten;AT21;Proportion of population aged 80-84 years;Percentage;2020;3.2
Kärnten;AT21;Proportion of population aged 80 years and more;Percentage;2016;5.8
Kärnten;AT21;Proportion of population aged 80 years and more;Percentage;2020;6.3
Kärnten;AT21;Proportion of population aged 85 years and more;Percentage;2016;3.1
Kärnten;AT21;Proportion of population aged 85 years and more;Percentage;2020;3.1
Kärnten;AT21;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2016;20.4
Kärnten;AT21;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2020;20.6
Kärnten;AT21;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2016;34.4
Kärnten;AT21;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2020;34.5
Kärnten;AT21;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2016;30.8
Kärnten;AT21;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2020;30.3
Salzburg;AT32;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2016;48.5
Salzburg;AT32;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2020;50.6
Salzburg;AT32;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2016;78.4
Salzburg;AT32;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2020;81.8
Salzburg;AT32;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2016;62.1
Salzburg;AT32;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2020;63.1
Salzburg;AT32;Median age of population - females;Year;2016;44.2
Salzburg;AT32;Median age of population - females;Year;2020;44.9
Salzburg;AT32;Median age of population;Year;2016;42.6
Salzburg;AT32;Median age of population;Year;2020;43.2
Salzburg;AT32;Median age of population - males;Year;2016;40.9
Salzburg;AT32;Median age of population - males;Year;2020;41.6
Salzburg;AT32;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2016;26.8
Salzburg;AT32;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2020;28.5
Salzburg;AT32;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2016;42.2
Salzburg;AT32;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2020;46.0
Salzburg;AT32;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2016;29.2
Salzburg;AT32;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2020;30.9
Salzburg;AT32;Women per 100 men;Percentage;2016;104.3
Salzburg;AT32;Women per 100 men;Percentage;2020;104.4
Salzburg;AT32;Proportion of population aged 0-14 years;Percentage;2016;14.6
Salzburg;AT32;Proportion of population aged 0-14 years;Percentage;2020;14.6
Salzburg;AT32;Proportion of population aged 0-19 years;Percentage;2016;20.3
Salzburg;AT32;Proportion of population aged 0-19 years;Percentage;2020;19.7
Salzburg;AT32;Proportion of population aged 0-4 years;Percentage;2016;4.9
Salzburg;AT32;Proportion of population aged 0-4 years;Percentage;2020;5.1
Salzburg;AT32;Proportion of population aged 10-14 years;Percentage;2016;5.0
Salzburg;AT32;Proportion of population aged 10-14 years;Percentage;2020;4.8
Salzburg;AT32;Proportion of population aged 15-19 years;Percentage;2016;5.7
Salzburg;AT32;Proportion of population aged 15-19 years;Percentage;2020;5.1
Salzburg;AT32;Proportion of population aged 15-24 years;Percentage;2016;11.9
Salzburg;AT32;Proportion of population aged 15-24 years;Percentage;2020;10.9
Salzburg;AT32;Proportion of population aged 20-24 years;Percentage;2016;6.2
Salzburg;AT32;Proportion of population aged 20-24 years;Percentage;2020;5.8
Salzburg;AT32;Proportion of population aged 20-39 years;Percentage;2016;26.2
Salzburg;AT32;Proportion of population aged 20-39 years;Percentage;2020;26.2
Salzburg;AT32;Proportion of population aged 25-29 years;Percentage;2016;6.7
Salzburg;AT32;Proportion of population aged 25-29 years;Percentage;2020;6.7
Salzburg;AT32;Proportion of population aged 25-44 years;Percentage;2016;26.8
Salzburg;AT32;Proportion of population aged 25-44 years;Percentage;2020;26.7
Salzburg;AT32;Proportion of population aged 25-49 years;Percentage;2016;34.9
Salzburg;AT32;Proportion of population aged 25-49 years;Percentage;2020;33.6
Salzburg;AT32;Proportion of population aged 30-34 years;Percentage;2016;6.9
Salzburg;AT32;Proportion of population aged 30-34 years;Percentage;2020;6.8
Salzburg;AT32;Proportion of population aged 35-39 years;Percentage;2016;6.4
Salzburg;AT32;Proportion of population aged 35-39 years;Percentage;2020;6.9
Salzburg;AT32;Proportion of population aged 40-44 years;Percentage;2016;6.8
Salzburg;AT32;Proportion of population aged 40-44 years;Percentage;2020;6.3
Salzburg;AT32;Proportion of population aged 40-59 years;Percentage;2016;29.8
Salzburg;AT32;Proportion of population aged 40-59 years;Percentage;2020;28.8
Salzburg;AT32;Proportion of population aged 45-49 years;Percentage;2016;8.1
Salzburg;AT32;Proportion of population aged 45-49 years;Percentage;2020;6.9
Salzburg;AT32;Proportion of population aged 45-64 years;Percentage;2016;28.7
Salzburg;AT32;Proportion of population aged 45-64 years;Percentage;2020;28.8
Salzburg;AT32;Proportion of population aged 50-54 years;Percentage;2016;8.1
Salzburg;AT32;Proportion of population aged 50-54 years;Percentage;2020;8.0
Salzburg;AT32;Proportion of population aged 50-64 years;Percentage;2016;20.6
Salzburg;AT32;Proportion of population aged 50-64 years;Percentage;2020;21.9
Salzburg;AT32;Proportion of population aged 55-59 years;Percentage;2016;6.9
Salzburg;AT32;Proportion of population aged 55-59 years;Percentage;2020;7.6
Salzburg;AT32;Proportion of population aged 5-9 years;Percentage;2016;4.7
Salzburg;AT32;Proportion of population aged 5-9 years;Percentage;2020;4.8
Salzburg;AT32;Proportion of population aged 60-64 years;Percentage;2016;5.6
Salzburg;AT32;Proportion of population aged 60-64 years;Percentage;2020;6.3
Salzburg;AT32;Proportion of population aged 60-79 years;Percentage;2016;19.1
Salzburg;AT32;Proportion of population aged 60-79 years;Percentage;2020;20.2
Salzburg;AT32;Proportion of population aged 60 years and more;Percentage;2016;23.7
Salzburg;AT32;Proportion of population aged 60 years and more;Percentage;2020;25.3
Salzburg;AT32;Proportion of population aged 65-69 years;Percentage;2016;5.2
Salzburg;AT32;Proportion of population aged 65-69 years;Percentage;2020;5.1
Salzburg;AT32;Proportion of population aged 65-79 years;Percentage;2016;13.4
