city_name;city_code;value;measurement_date;unit;name
Wien;AT13;95384.86;2020;Million units of national currency;GDP
Wien;AT13;101960.55;2021;Million units of national currency;GDP
Wien;AT13;52769.33;2000;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;62545.85;2005;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;70203.38;2010;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;74396.22;2012;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;75249.6;2013;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;76029.91;2014;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;78548.99;2015;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;82196.33;2016;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;82311.08;2017;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;86067.86;2018;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;87784.46;2019;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;83720.13;2020;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;89377.92;2021;Million purchasing power standards (PPS, EU27 from 2020);GDP
Wien;AT13;34000.0;2000;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;38100.0;2005;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;41400.0;2010;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;43100.0;2012;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;42900.0;2013;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;42700.0;2014;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;43300.0;2015;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;44400.0;2016;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;43800.0;2017;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;45500.0;2018;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;46100.0;2019;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;43700.0;2020;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;46500.0;2021;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Wien;AT13;185.0;2000;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;173.0;2005;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;166.0;2010;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;167.0;2012;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;165.0;2013;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;161.0;2014;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;157.0;2015;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;157.0;2016;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;149.0;2017;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;150.0;2018;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;147.0;2019;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;146.0;2020;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;143.0;2021;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;22100.0;2000;Euro per inhabitant;GDP
Kärnten;AT21;26100.0;2005;Euro per inhabitant;GDP
Kärnten;AT21;29700.0;2010;Euro per inhabitant;GDP
Kärnten;AT21;32000.0;2012;Euro per inhabitant;GDP
Kärnten;AT21;32200.0;2013;Euro per inhabitant;GDP
Kärnten;AT21;33100.0;2014;Euro per inhabitant;GDP
Kärnten;AT21;33500.0;2015;Euro per inhabitant;GDP
Kärnten;AT21;34000.0;2016;Euro per inhabitant;GDP
Kärnten;AT21;35500.0;2017;Euro per inhabitant;GDP
Kärnten;AT21;37200.0;2018;Euro per inhabitant;GDP
Kärnten;AT21;38200.0;2019;Euro per inhabitant;GDP
Kärnten;AT21;37200.0;2020;Euro per inhabitant;GDP
Kärnten;AT21;40300.0;2021;Euro per inhabitant;GDP
Kärnten;AT21;120.0;2000;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;118.0;2005;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;119.0;2010;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;124.0;2012;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;124.0;2013;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;124.0;2014;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;122.0;2015;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;121.0;2016;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;121.0;2017;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;123.0;2018;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;122.0;2019;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;124.0;2020;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;124.0;2021;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;12378.81;2000;Million euro;GDP
Kärnten;AT21;14568.19;2005;Million euro;GDP
Kärnten;AT21;16582.05;2010;Million euro;GDP
Kärnten;AT21;17771.87;2012;Million euro;GDP
Kärnten;AT21;17907.85;2013;Million euro;GDP
Kärnten;AT21;18419.82;2014;Million euro;GDP
Kärnten;AT21;18717.18;2015;Million euro;GDP
Kärnten;AT21;19093.92;2016;Million euro;GDP
Kärnten;AT21;19910.2;2017;Million euro;GDP
Kärnten;AT21;20862.53;2018;Million euro;GDP
Kärnten;AT21;21428.7;2019;Million euro;GDP
Kärnten;AT21;20877.48;2020;Million euro;GDP
Kärnten;AT21;22691.68;2021;Million euro;GDP
Kärnten;AT21;12378.81;2000;Million units of national currency;GDP
Kärnten;AT21;14568.19;2005;Million units of national currency;GDP
Kärnten;AT21;16582.05;2010;Million units of national currency;GDP
Kärnten;AT21;17771.87;2012;Million units of national currency;GDP
Kärnten;AT21;17907.85;2013;Million units of national currency;GDP
Kärnten;AT21;18419.82;2014;Million units of national currency;GDP
Kärnten;AT21;18717.18;2015;Million units of national currency;GDP
Kärnten;AT21;19093.92;2016;Million units of national currency;GDP
Kärnten;AT21;19910.2;2017;Million units of national currency;GDP
Kärnten;AT21;20862.53;2018;Million units of national currency;GDP
Kärnten;AT21;21428.7;2019;Million units of national currency;GDP
Kärnten;AT21;20877.48;2020;Million units of national currency;GDP
Kärnten;AT21;22691.68;2021;Million units of national currency;GDP
Kärnten;AT21;11328.96;2000;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;13526.14;2005;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;14899.73;2010;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;16127.51;2012;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;16212.65;2013;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;16524.61;2014;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;16843.96;2015;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;17069.94;2016;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;17644.48;2017;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;18482.2;2018;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;18872.76;2019;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;18324.35;2020;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;19891.37;2021;Million purchasing power standards (PPS, EU27 from 2020);GDP
Kärnten;AT21;20200.0;2000;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;24200.0;2005;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;26700.0;2010;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;29000.0;2012;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;29200.0;2013;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;29700.0;2014;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;30200.0;2015;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;30400.0;2016;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;31500.0;2017;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;33000.0;2018;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;33600.0;2019;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;32600.0;2020;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;35300.0;2021;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Kärnten;AT21;110.0;2000;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;110.0;2005;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;107.0;2010;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;113.0;2012;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;112.0;2013;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;112.0;2014;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;110.0;2015;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;108.0;2016;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;107.0;2017;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;109.0;2018;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;107.0;2019;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;109.0;2020;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Kärnten;AT21;109.0;2021;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;29700.0;2000;Euro per inhabitant;GDP
Salzburg;AT32;35000.0;2005;Euro per inhabitant;GDP
Salzburg;AT32;41500.0;2010;Euro per inhabitant;GDP
Salzburg;AT32;45000.0;2012;Euro per inhabitant;GDP
Salzburg;AT32;45000.0;2013;Euro per inhabitant;GDP
Salzburg;AT32;45700.0;2014;Euro per inhabitant;GDP
Salzburg;AT32;47300.0;2015;Euro per inhabitant;GDP
Salzburg;AT32;48900.0;2016;Euro per inhabitant;GDP
Salzburg;AT32;50200.0;2017;Euro per inhabitant;GDP
Salzburg;AT32;51700.0;2018;Euro per inhabitant;GDP
Salzburg;AT32;53500.0;2019;Euro per inhabitant;GDP
Salzburg;AT32;51000.0;2020;Euro per inhabitant;GDP
Salzburg;AT32;53300.0;2021;Euro per inhabitant;GDP
Salzburg;AT32;161.0;2000;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;159.0;2005;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;167.0;2010;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;175.0;2012;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;173.0;2013;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;172.0;2014;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;172.0;2015;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;174.0;2016;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;171.0;2017;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;171.0;2018;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;171.0;2019;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;170.0;2020;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;164.0;2021;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Salzburg;AT32;15240.72;2000;Million euro;GDP
Salzburg;AT32;18295.72;2005;Million euro;GDP
Salzburg;AT32;21867.34;2010;Million euro;GDP
Salzburg;AT32;23886.5;2012;Million euro;GDP
Salzburg;AT32;23965.79;2013;Million euro;GDP
Salzburg;AT32;24504.84;2014;Million euro;GDP
Salzburg;AT32;25603.96;2015;Million euro;GDP
Salzburg;AT32;26805.49;2016;Million euro;GDP
Salzburg;AT32;27652.5;2017;Million euro;GDP
Salzburg;AT32;28648.21;2018;Million euro;GDP
Salzburg;AT32;29758.48;2019;Million euro;GDP
Salzburg;AT32;28553.06;2020;Million euro;GDP
Salzburg;AT32;29926.19;2021;Million euro;GDP
Salzburg;AT32;15240.72;2000;Million units of national currency;GDP
Salzburg;AT32;18295.72;2005;Million units of national currency;GDP
Salzburg;AT32;21867.34;2010;Million units of national currency;GDP
Salzburg;AT32;23886.5;2012;Million units of national currency;GDP
Salzburg;AT32;23965.79;2013;Million units of national currency;GDP
Salzburg;AT32;24504.84;2014;Million units of national currency;GDP
Salzburg;AT32;25603.96;2015;Million units of national currency;GDP
Salzburg;AT32;26805.49;2016;Million units of national currency;GDP
Salzburg;AT32;27652.5;2017;Million units of national currency;GDP
Salzburg;AT32;28648.21;2018;Million units of national currency;GDP
Salzburg;AT32;29758.48;2019;Million units of national currency;GDP
Salzburg;AT32;28553.06;2020;Million units of national currency;GDP
Salzburg;AT32;29926.19;2021;Million units of national currency;GDP
Salzburg;AT32;13948.14;2000;Million purchasing power standards (PPS, EU27 from 2020);GDP
Salzburg;AT32;16987.04;2005;Million purchasing power standards (PPS, EU27 from 2020);GDP
Salzburg;AT32;19648.8;2010;Million purchasing power standards (PPS, EU27 from 2020);GDP
Salzburg;AT32;21676.38;2012;Million purchasing power standards (PPS, EU27 from 2020);GDP
Salzburg;AT32;21697.14;2013;Million purchasing power standards (PPS, EU27 from 2020);GDP
Salzburg;AT32;21983.55;2014;Million purchasing power standards (PPS, EU27 from 2020);GDP
Salzburg;AT32;23041.51;2015;Million purchasing power standards (PPS, EU27 from 2020);GDP
Salzburg;AT32;23964.07;2016;Million purchasing power standards (PPS, EU27 from 2020);GDP
